y,x1,x2
-16.29659751,3.575784534,1.531933754
-12.62096705,1.067191232,0.936208989
-27.22985296,1.81345322,2.210746812
-26.33216582,1.651078467,2.244376934
-4.350405984,1.654792561,0.3178579
-25.81364487,0.736612548,2.108939072
-11.14568126,2.469661121,1.132619774
-25.90607228,-0.189381834,2.067735319
-9.222731696,1.740624993,0.709346505
-6.232372692,1.156307143,0.284919882
-14.80400274,0.780869506,1.138689234
-31.02596798,0.633811648,2.87519134
8.480573115,-0.363092313,-1.341280092
-22.08807077,-0.915195583,1.634288147
-15.52345655,2.049494019,1.253320461
-22.4562842,1.752687516,1.917254362
-19.38173201,0.835255531,1.395746422
-24.81568318,0.739841928,2.116243711
-0.541736627,0.526418667,-0.370045461
-10.16217797,1.037919207,0.606356393
-12.29051534,1.849637144,0.700807841
-31.51732091,2.041394179,2.655398557
-16.42283931,0.927420945,1.14790552
-10.46756273,-0.541979795,0.493919309
-30.58370606,-0.056288931,2.707588392
-8.991756651,2.427643163,0.32948123
-10.32353115,0.901263876,0.609990827
-18.09783817,0.397607637,1.310782518
-10.96548526,1.420296869,0.481347336
-28.7930795,2.247185571,2.518425717
-15.59310834,-0.003696471,0.823154245
-18.11387996,3.284383939,0.900036449
-21.22962832,0.476374183,1.650928937
-25.37286968,1.518105291,2.198013023
-12.95172559,1.444832439,0.630124448
-24.12403151,-0.111275464,2.268352185
-15.80004295,1.885822673,1.078608206
-25.88894501,2.854152425,2.332132647
-12.88470445,0.83502554,0.940897355
-15.6809497,2.113293909,1.101731733
-12.63993075,0.797106282,0.736724252
-22.88750323,3.219479782,1.811837182
-6.907952947,0.95065675,0.191394284
-24.41370616,0.129696092,2.757204797
-20.86982816,2.501444947,1.998035827
-21.92159392,-0.191836019,2.488095586
-14.26457323,3.045120814,0.984814044
-15.00584152,-0.639704368,1.747640497
-15.97768433,0.062132017,1.881845895
-10.97203533,2.565011941,0.97953877
-17.89874484,2.354807257,2.198355958
-19.34182214,3.098741251,2.318996778
-9.675451591,0.291262828,0.851726797
-2.499886127,0.617671728,-0.953768429
-20.89568293,3.051738154,1.753934647
-13.98162641,1.76969813,0.91426537
-10.1823352,0.63575759,0.31620591
-12.55440997,0.987442764,0.772418296
-12.24446741,0.982991287,0.856065609
-8.900128087,-0.853827529,0.456161639
-18.72196046,0.942795645,1.253197223
-13.43474118,1.967702381,0.409399389
-17.04059977,1.250523207,1.004553422
-26.48566125,4.584297593,1.759259102
-9.334911856,-0.276956902,0.207551895
-4.64190605,1.549145786,-0.678500535
-21.68109953,1.454705771,1.593024124
-29.30858578,0.714784624,2.658947992
-20.71272598,0.583873301,1.383605307
-7.14094646,1.685782509,-0.221997989
-9.433989593,1.475764872,0.206319996
-14.37315592,2.838532234,0.515341024
-9.073181154,0.093939435,0.153761342
-21.08251545,0.915721406,1.333415644
-12.04347482,0.495351934,0.438330662
-2.669378043,1.827739932,-0.720222229
1.382084605,1.346140774,-1.123149451
-25.49758682,0.682870785,2.057155745
-14.81012112,0.222056114,0.837522281
-14.76669511,-0.897070568,0.884145427
-12.98968659,0.895017291,0.568984109
-18.64875871,0.556326826,1.251006521
-12.07740907,1.085872358,0.516251479
-11.56568654,0.989639592,0.418343843
-28.74366466,0.345898953,2.226898113
-23.87875351,2.051267546,1.446908844
-29.96884187,2.156368205,2.020796023
